,Прочность при растяжении. МПа,Соотношение матрица-наполнитель,Количество отвердителя. м.%,Содержание эпоксидных групп.%_2,Потребление смолы. г/м2,Угол нашивки. град,Шаг нашивки,Плотность нашивки,модуль упругости. ГПа,Плотность. кг/м3,Температура вспышки. С_2,Поверхностная плотность. г/м2,Модуль упругости при растяжении. ГПа
1,0.6982349093054454,0.2821308364935253,0.17802109912799863,0.5065354577947657,0.48897856202231027,0.0,0.2769982992661101,0.5769846517181925,0.38567916812627984,0.6265332413754128,0.5893107230433702,0.14968223531737437,0.3191938200760389
3,0.6982349093054454,0.2821308364935253,0.613972324306123,0.373166662604162,0.48897856202231027,0.0,0.3462478740826376,0.4519713105125841,0.38567916812627984,0.6265332413754128,0.638419949963653,0.14968223531737437,0.3191938200760389
4,0.6982349093054454,0.45785721688059366,0.5193874635522869,0.42746681493176253,0.48897856202231027,0.0,0.3462478740826376,0.5481354191322828,0.393150312183912,0.6265332413754128,0.5893107230433702,0.14968223531737437,0.3191938200760389
5,0.6982349093054454,0.4572011717271498,0.5193874635522869,0.42746681493176253,0.48897856202231027,0.0,0.3462478740826376,0.5769846517181925,0.3905312764441517,0.5635092024680461,0.5893107230433702,0.14968223531737437,0.3191938200760389
6,0.6982349093054454,0.4190841178750878,0.5193874635522869,0.42746681493176253,0.48897856202231027,0.0,0.3462478740826376,0.6731487603378912,0.4214358981733236,0.37443708574594625,0.5893107230433702,0.14968223531737437,0.3191938200760389
7,0.2714286487694357,0.41751850607265895,0.5193874635522869,0.42746681493176253,0.22636497046318735,0.0,0.48474702371569267,0.4519713105125841,0.2789603539303615,0.3534290727768239,0.5893107230433702,0.2712029348506817,0.5876070988235069
8,0.2714286487694357,0.6088828395510785,0.613972324306123,0.373166662604162,0.22636497046318735,0.0,0.48474702371569267,0.5481354191322828,0.4643880843053931,0.41645311168419097,0.638419949963653,0.2712029348506817,0.5876070988235069
9,0.3425630255254373,0.6041389665676619,0.613972324306123,0.373166662604162,0.6990694352696086,0.0,0.48474702371569267,0.5769846517181925,0.7430534870158925,0.773589332159268,0.638419949963653,0.7215443507682323,0.7486550660719873
10,0.3425630255254373,0.4863726170657554,0.613972324306123,0.373166662604162,0.6990694352696086,0.0,0.48474702371569267,0.6731487603378912,0.48743559881528403,0.8996374099740012,0.638419949963653,0.7215443507682323,0.7486550660719873
11,0.3425630255254373,0.47823794037393863,0.613972324306123,0.373166662604162,0.6990694352696086,0.0,0.6232461733487477,0.4519713105125841,0.8514815666419703,0.5425011894989242,0.638419949963653,0.7215443507682323,0.7486550660719873
12,0.5045913281363279,0.2323514312137591,0.613972324306123,0.373166662604162,0.48897856202231027,0.0,0.6232461733487477,0.5481354191322828,0.4319120411323649,0.4584691376224348,0.638419949963653,0.33553742283890325,0.4981360059076825
13,0.5045913281363279,0.4863726170657554,0.613972324306123,0.373166662604162,0.48897856202231027,0.0,0.6232461733487477,0.5769846517181925,0.29624598981277966,0.5214931765298014,0.638419949963653,0.33553742283890325,0.4981360059076825
14,0.5045913281363279,0.6996321487215736,0.613972324306123,0.373166662604162,0.48897856202231027,0.0,0.6232461733487477,0.6731487603378912,0.41776924813765914,0.37443708574594625,0.638419949963653,0.33553742283890325,0.4981360059076825
15,0.6982349093054454,0.48927607499014814,0.613972324306123,0.373166662604162,0.48897856202231027,0.0,0.6924957481652751,0.4519713105125841,0.15691328845752994,0.6265332413754128,0.638419949963653,0.14968223531737437,0.3191938200760389
16,0.6982349093054454,0.6088828395510785,0.613972324306123,0.373166662604162,0.48897856202231027,0.0,0.6924957481652751,0.5481354191322828,0.16267516708500268,0.3114130468385796,0.638419949963653,0.14968223531737437,0.3191938200760389
17,0.2714286487694357,0.7312375811452143,0.613972324306123,0.373166662604162,0.22636497046318735,0.0,0.6924957481652751,0.5769846517181925,0.26376994663975156,0.4584691376224348,0.638419949963653,0.2712029348506817,0.5876070988235069
18,0.2714286487694357,0.8666402908598673,0.613972324306123,0.373166662604162,0.22636497046318735,0.0,0.6924957481652751,0.6731487603378912,0.2815793896701218,0.332421059807702,0.638419949963653,0.2712029348506817,0.5876070988235069
20,0.3425630255254373,0.47823794037393863,0.5193874635522869,0.42746681493176253,0.6990694352696086,1.0,0.2769982992661101,0.4519713105125841,0.10610399510617947,0.5635092024680461,0.5893107230433702,0.7215443507682323,0.7486550660719873
21,0.5045913281363279,0.2323514312137591,0.5193874635522869,0.42746681493176253,0.48897856202231027,1.0,0.2769982992661101,0.5481354191322828,0.23757958924214823,0.39544509871506817,0.5893107230433702,0.33553742283890325,0.4981360059076825
22,0.5045913281363279,0.6996321487215736,0.5193874635522869,0.42746681493176253,0.48897856202231027,1.0,0.2769982992661101,0.5769846517181925,0.3245315758021913,0.3114130468385796,0.5893107230433702,0.33553742283890325,0.4981360059076825
23,0.5514644106751203,0.42249169859095126,0.6615816173461265,0.4315573120961932,0.5588682231849798,1.0,0.2769982992661101,0.6731487603378912,0.5940807094252012,0.46534910722444023,0.43002972840826337,0.3969364377341819,0.8991394548323095
24,0.949222785021286,0.4056858511793877,0.7091763890275562,0.47088637786928034,0.5053203765098121,1.0,0.3462478740826376,0.4519713105125841,0.47094612189641616,0.4429143356761265,0.8019572020374307,0.6176981105761883,0.6508492978545855
25,0.5645116732910622,0.3185238140889739,0.46286418722580486,0.4743345124806152,0.37920228832749214,1.0,0.3462478740826376,0.5481354191322828,0.36935421807449226,0.642566160220881,0.677705776739608,0.3910089191580941,0.5241040933794126
26,0.510862406397816,0.2820026849865166,0.6492992541316318,0.6498009962245811,0.23514824336295057,1.0,0.3462478740826376,0.5769846517181925,0.4367805046301349,0.6017864986968795,0.7262358165406922,0.10747984662516043,0.7062866514119674
27,0.7192312844951072,0.5605426367440667,0.48587401426166016,0.19307077151803453,0.6349283752758683,1.0,0.3462478740826376,0.6731487603378912,0.24925328489968618,0.391049185377208,0.7282921760193287,0.37606254559809155,0.44511769776079735
28,0.4453405967042287,0.44598237297769927,0.43497457652874477,0.4659534972642464,0.24426560278472245,1.0,0.48474702371569267,0.4519713105125841,0.3345114373670563,0.33677207938703013,0.5201741114963869,0.5747134777344661,0.5613755642113745
29,0.5931143344905778,0.3639560418668639,0.7263971500303228,0.39513253926197567,0.5968525350924307,1.0,0.48474702371569267,0.5481354191322828,0.20508643090909362,0.581066842230674,0.7357746542594185,0.3822667489647307,0.4397073065595474
30,0.5022394562327588,0.30538908940375353,0.7263932624475617,0.29317621432601804,0.3379591854683287,1.0,0.48474702371569267,0.5769846517181925,0.5181956993024641,0.5081091744284438,0.42154291955262047,0.3465842106033621,0.623343672636226
31,0.6259571903395948,0.26565623455392096,0.34243843645602706,0.42898436932256,0.23517897659831347,1.0,0.48474702371569267,0.6731487603378912,0.41831080320242475,0.2956393061053304,0.7684561932930268,0.6178437209001869,0.3700630516350225
32,0.5070987545640002,0.5550742435979531,0.2745870164020212,0.5348421321313394,0.4548875921283583,1.0,0.6232461733487477,0.4519713105125841,0.17658246830650734,0.5846159781478888,0.4946129312170753,0.0835858646042192,0.1838440958704317
33,0.4506057070392026,0.4988063299796546,0.6390753932601735,0.4805977113831873,0.4379796573718675,1.0,0.6232461733487477,0.5481354191322828,0.6184354951245941,0.37930135805179743,0.686289078299105,0.26933652661109925,0.6031993452388207
34,0.7290169577864223,0.48569441917345246,0.504926743269145,0.609643378968015,0.4159487740220602,1.0,0.6232461733487477,0.5769846517181925,0.5242436200962554,0.31134969855002526,0.6194222851560542,0.29147132896242633,0.4105002667184934
35,0.7651497220622707,0.549409526956317,0.3511868350441928,0.48906229116207556,0.5753011433343341,1.0,0.6232461733487477,0.6731487603378912,0.39570359912218356,0.17115220788257446,0.5716417259267733,0.41063925749943814,0.2838240831369805
36,0.30361901963380916,0.3910689153517455,0.22361615770970383,0.5237960060585923,0.49606778246885486,1.0,0.6924957481652751,0.4519713105125841,0.27646110574155275,0.37221149912472873,0.7186651495705728,0.3261789327003783,0.54704202408776
37,0.12438641327722921,0.9052832755170053,0.6324205651026636,0.5943988722942067,0.6252786760558566,1.0,0.6924957481652751,0.5481354191322828,0.8221986739893823,0.5159030435400251,0.5955067362577976,0.49306029925757827,0.44489925977857636
38,0.6058418929138776,0.39497125875050143,0.5122402909575503,0.4925125164528227,0.4045781586964131,1.0,0.6924957481652751,0.5769846517181925,0.4865506979096428,0.743118968187582,0.5435723402621836,0.1984549399814938,0.39859371390302156
39,0.5416123224450244,0.43793653716179715,0.6313408601229316,0.44785901343907375,0.3416596326026551,1.0,0.6924957481652751,0.6731487603378912,0.8065223912454182,0.7292512404008318,0.8234752175010215,0.562351674694421,0.666616612612982
40,0.6443470901013679,0.5084245530481099,0.2410480385342446,0.4927036686508891,0.7280945343997731,0.0,0.5440361930688555,0.6183541035950669,0.2375120279763896,0.49712679734485876,0.6908169016107758,0.4551830527291191,0.5924584936685147
42,0.42101977748065705,0.4373006154540843,0.3298142528483188,0.2065147273866842,0.7378749756867959,0.0,0.46229495006272514,0.7560739497720593,0.27375254494087586,0.5554403299658488,0.3939328338976157,0.020054033798685648,0.2918035054821253
43,0.46190580667083386,0.15457027652351302,0.47026883118190504,0.28336765159719757,0.1503321546613158,0.0,0.5211998835681162,0.36712548011144835,0.46994237869533345,0.49193327824227984,0.40159878095240165,0.6222468955748124,0.5046509965251484
44,0.4360280358521999,0.48534527900700186,0.3510332948533044,0.11398279947366674,0.7071459911934778,0.0,0.5765511310530892,0.44279175040470764,0.19895580937651594,0.66723291300154,0.4254943283758311,0.40129594102173927,0.30924186962637945
45,0.21449003512630443,0.7547111370257769,0.6944132559778838,0.534574278268325,0.563152011069123,0.0,0.5301893478055548,0.3228327555952021,0.4297742456059391,0.3815371155252927,0.5585816868748323,0.1860378982944617,0.6389990387296418
46,0.8432471667670021,0.3746433451268828,0.7299454475612942,0.21576061614812414,0.7106855542370487,0.0,0.7134745413966641,0.37729295436253085,0.6038048588521512,0.48651811246167265,0.6891876728102232,0.4601770169285547,0.38919545387864884
47,0.529936044268428,0.17468385691763647,0.6246934020405074,0.40406767369668073,0.512266399069435,0.0,0.619568406036764,0.6931950736037729,0.7350847154577757,0.5309706745639136,0.6031539473354302,0.11466119814314836,0.570477674945197
48,0.5060029793320717,0.3354344154105132,0.42683900183183726,0.27260262832357396,0.6726955240575879,0.0,0.25945218666936115,0.5577304063820199,0.42263740884719553,0.5348312745136501,0.33676576061098906,0.1399303011606437,0.6595529832670364
49,0.2699061452102008,0.7224757617141634,0.5469597902003633,0.3904120453311698,0.4098880336366255,0.0,0.6297808178898804,0.43083059837355786,0.6535863226311438,0.5462611798486683,0.7046246494042573,0.5396211121373135,0.33827607305631613
50,0.3484329051168615,0.5129284241317837,0.5241323017688377,0.2739675433481573,0.4540335663809565,0.0,0.436533589297965,0.6938434566463547,0.21002483482735906,0.5367446974387309,0.7541188303010576,0.25178248563512734,0.48112695456139365
51,0.37730130364304676,0.7290424526215185,0.5199932308969697,0.24248035993497352,0.5058453014049746,0.0,0.5026107708372356,0.4829345719203488,0.18100409606972243,0.4390141150836899,0.6517964067341727,0.16392756144697418,0.46786649737000996
53,0.5422886677467247,0.17523318638605254,0.6543887254512132,0.48409065701272647,0.4871979665892777,0.0,0.42561656528285075,0.6765664744008707,0.4910283966732706,0.6852279332927256,0.614880498582446,0.37402892474143073,0.28606443199479337
54,0.4566692103152354,0.6232835288905293,0.5681471044652031,0.5429127921517446,0.6101440120184102,0.0,0.6960079674746558,0.7131209650440734,0.2887141333378887,0.7011492494576754,0.6670804248190852,0.16695366809392753,0.30857488774836295
55,0.5859827098373249,0.6844900270325883,0.464895616396432,0.49434928782592047,0.7557498097637768,0.0,0.686438227737696,0.6841577822152775,0.30173140833233164,0.7275506700178087,0.5233025996390324,0.1432280252779355,0.6375011677270113
56,0.5944115430570278,0.8126319658332936,0.4960666428014369,0.6404906901950106,0.5662541086699601,0.0,0.3910464211280393,0.7303886254719859,0.44653248259778056,0.3686407257789299,0.6216638461765205,0.33232815318893144,0.5851988150386536
57,0.7538264614756072,0.7433144450997009,0.37810642002378314,0.3785570574717566,0.6456182293806237,0.0,0.43316008510017984,0.316175455991212,0.2509193904850704,0.5329137077718973,0.4471933652141622,0.043400127806748734,0.4048728128639896
58,0.5981150695577628,0.783868137192537,0.12451943031410632,0.42546575181019886,0.616725755412557,0.0,0.5062446896965808,0.614116557319335,0.36908874172032424,0.6599779649299298,0.44554330996981606,0.4614001439299042,0.5233471758593522
59,0.3432899861353756,0.5245282210039862,0.7986470394250278,0.518140827357691,0.4046537692215618,0.0,0.36403802703768856,0.6460598718470189,0.505862700220161,0.338214649971631,0.5113421307722522,0.12381463272135729,0.38273052036410116
60,0.3941410971569092,0.439641060660692,0.48812832281540236,0.3230914377614428,0.7107002518493566,0.0,0.15945788892037333,0.6328333910199007,0.13457696583875325,0.6757545591010143,0.6408286577140322,0.2977539808254252,0.3829448513495368
61,0.522293092985197,0.535597981448973,0.7376758804473884,0.42418644679729633,0.45011909657471905,0.0,0.4704592702964313,0.4548079926392782,0.37826363924543405,0.5015736702844342,0.6819193531934861,0.2936819562187494,0.5100016931142739
62,0.6485372187843359,0.32837995328242253,0.6523210025014424,0.38635967089666934,0.40114918414906464,0.0,0.4349669444924449,0.6951980359817984,0.5651752109922408,0.6035630078384373,0.839130762515517,0.024222053754723773,0.5498521333279487
63,0.43155608590597355,0.8467937263581437,0.40791804722849273,0.4492610487369818,0.7546014477421491,0.0,0.3452149023740566,0.3683791427875096,0.3993244826732947,0.3907888842122875,0.6941975778756756,0.30127590823243644,0.26960457665130333
